PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2019-03-17T00:58:10Z,Wind generation,Wind Onshore,2171.583,2019-03-16T23:30:00Z,2019-03-16,48
2019-03-17T00:58:10Z,Wind generation,Wind Offshore,173.731,2019-03-16T23:30:00Z,2019-03-16,48
2019-03-17T00:58:10Z,Solar generation,Solar,0.000,2019-03-16T23:30:00Z,2019-03-16,48
2019-03-17T00:28:11Z,Wind generation,Wind Onshore,5351.684,2019-03-16T23:00:00Z,2019-03-16,47
2019-03-17T00:28:11Z,Wind generation,Wind Offshore,4766.196,2019-03-16T23:00:00Z,2019-03-16,47
2019-03-17T00:28:11Z,Solar generation,Solar,0.000,2019-03-16T23:00:00Z,2019-03-16,47
2019-03-16T23:58:09Z,Wind generation,Wind Onshore,5333.694,2019-03-16T22:30:00Z,2019-03-16,46
2019-03-16T23:58:09Z,Wind generation,Wind Offshore,4766.690,2019-03-16T22:30:00Z,2019-03-16,46
2019-03-16T23:58:09Z,Solar generation,Solar,0.000,2019-03-16T22:30:00Z,2019-03-16,46
2019-03-16T23:28:11Z,Wind generation,Wind Onshore,5055.995,2019-03-16T22:00:00Z,2019-03-16,45
2019-03-16T23:28:11Z,Wind generation,Wind Offshore,4784.234,2019-03-16T22:00:00Z,2019-03-16,45
2019-03-16T23:28:11Z,Solar generation,Solar,0.000,2019-03-16T22:00:00Z,2019-03-16,45
2019-03-16T22:58:10Z,Wind generation,Wind Onshore,4917.173,2019-03-16T21:30:00Z,2019-03-16,44
2019-03-16T22:58:10Z,Wind generation,Wind Offshore,4660.140,2019-03-16T21:30:00Z,2019-03-16,44
2019-03-16T22:58:10Z,Solar generation,Solar,0.000,2019-03-16T21:30:00Z,2019-03-16,44
2019-03-16T22:28:09Z,Wind generation,Wind Onshore,4993.317,2019-03-16T21:00:00Z,2019-03-16,43
2019-03-16T22:28:09Z,Wind generation,Wind Offshore,4714.224,2019-03-16T21:00:00Z,2019-03-16,43
2019-03-16T22:28:09Z,Solar generation,Solar,0.000,2019-03-16T21:00:00Z,2019-03-16,43
2019-03-16T21:58:10Z,Wind generation,Wind Onshore,5186.293,2019-03-16T20:30:00Z,2019-03-16,42
2019-03-16T21:58:10Z,Wind generation,Wind Offshore,4575.976,2019-03-16T20:30:00Z,2019-03-16,42
2019-03-16T21:58:10Z,Solar generation,Solar,0.000,2019-03-16T20:30:00Z,2019-03-16,42
2019-03-16T21:28:10Z,Wind generation,Wind Onshore,5184.241,2019-03-16T20:00:00Z,2019-03-16,41
2019-03-16T21:28:10Z,Wind generation,Wind Offshore,4663.705,2019-03-16T20:00:00Z,2019-03-16,41
2019-03-16T21:28:10Z,Solar generation,Solar,0.000,2019-03-16T20:00:00Z,2019-03-16,41
2019-03-16T20:58:10Z,Wind generation,Wind Onshore,5287.082,2019-03-16T19:30:00Z,2019-03-16,40
2019-03-16T20:58:10Z,Wind generation,Wind Offshore,4765.396,2019-03-16T19:30:00Z,2019-03-16,40
2019-03-16T20:58:10Z,Solar generation,Solar,0.000,2019-03-16T19:30:00Z,2019-03-16,40
2019-03-16T20:28:10Z,Wind generation,Wind Onshore,5318.229,2019-03-16T19:00:00Z,2019-03-16,39
2019-03-16T20:28:10Z,Wind generation,Wind Offshore,4867.034,2019-03-16T19:00:00Z,2019-03-16,39
2019-03-16T20:28:10Z,Solar generation,Solar,0.000,2019-03-16T19:00:00Z,2019-03-16,39
2019-03-16T19:58:10Z,Wind generation,Wind Onshore,5528.419,2019-03-16T18:30:00Z,2019-03-16,38
2019-03-16T19:58:10Z,Wind generation,Wind Offshore,4913.655,2019-03-16T18:30:00Z,2019-03-16,38
2019-03-16T19:58:10Z,Solar generation,Solar,0.000,2019-03-16T18:30:00Z,2019-03-16,38
2019-03-16T19:28:10Z,Wind generation,Wind Onshore,5460.924,2019-03-16T18:00:00Z,2019-03-16,37
2019-03-16T19:28:10Z,Wind generation,Wind Offshore,4944.076,2019-03-16T18:00:00Z,2019-03-16,37
2019-03-16T19:28:10Z,Solar generation,Solar,2.000,2019-03-16T18:00:00Z,2019-03-16,37
2019-03-16T18:58:09Z,Wind generation,Wind Onshore,5681.095,2019-03-16T17:30:00Z,2019-03-16,36
2019-03-16T18:58:09Z,Wind generation,Wind Offshore,4944.375,2019-03-16T17:30:00Z,2019-03-16,36
2019-03-16T18:58:09Z,Solar generation,Solar,21.000,2019-03-16T17:30:00Z,2019-03-16,36
2019-03-16T18:28:10Z,Wind generation,Wind Onshore,5642.960,2019-03-16T17:00:00Z,2019-03-16,35
2019-03-16T18:28:10Z,Wind generation,Wind Offshore,4943.257,2019-03-16T17:00:00Z,2019-03-16,35
2019-03-16T18:28:10Z,Solar generation,Solar,101.000,2019-03-16T17:00:00Z,2019-03-16,35
2019-03-16T17:58:10Z,Wind generation,Wind Onshore,5287.420,2019-03-16T16:30:00Z,2019-03-16,34
2019-03-16T17:58:10Z,Wind generation,Wind Offshore,4934.685,2019-03-16T16:30:00Z,2019-03-16,34
2019-03-16T17:58:10Z,Solar generation,Solar,209.000,2019-03-16T16:30:00Z,2019-03-16,34
2019-03-16T17:28:10Z,Wind generation,Wind Onshore,5204.964,2019-03-16T16:00:00Z,2019-03-16,33
2019-03-16T17:28:10Z,Wind generation,Wind Offshore,4931.967,2019-03-16T16:00:00Z,2019-03-16,33
2019-03-16T17:28:10Z,Solar generation,Solar,368.000,2019-03-16T16:00:00Z,2019-03-16,33
2019-03-16T16:58:09Z,Wind generation,Wind Onshore,5138.689,2019-03-16T15:30:00Z,2019-03-16,32
2019-03-16T16:58:09Z,Wind generation,Wind Offshore,4932.715,2019-03-16T15:30:00Z,2019-03-16,32
2019-03-16T16:58:09Z,Solar generation,Solar,545.000,2019-03-16T15:30:00Z,2019-03-16,32
2019-03-16T16:28:10Z,Wind generation,Wind Onshore,4989.792,2019-03-16T15:00:00Z,2019-03-16,31
2019-03-16T16:28:10Z,Wind generation,Wind Offshore,4917.793,2019-03-16T15:00:00Z,2019-03-16,31
2019-03-16T16:28:10Z,Solar generation,Solar,783.000,2019-03-16T15:00:00Z,2019-03-16,31
2019-03-16T15:58:10Z,Wind generation,Wind Onshore,4904.088,2019-03-16T14:30:00Z,2019-03-16,30
2019-03-16T15:58:10Z,Wind generation,Wind Offshore,4830.120,2019-03-16T14:30:00Z,2019-03-16,30
2019-03-16T15:58:10Z,Solar generation,Solar,972.000,2019-03-16T14:30:00Z,2019-03-16,30
2019-03-16T15:28:10Z,Wind generation,Wind Onshore,4891.538,2019-03-16T14:00:00Z,2019-03-16,29
2019-03-16T15:28:10Z,Wind generation,Wind Offshore,4792.082,2019-03-16T14:00:00Z,2019-03-16,29
2019-03-16T15:28:10Z,Solar generation,Solar,1220.000,2019-03-16T14:00:00Z,2019-03-16,29
2019-03-16T14:58:10Z,Wind generation,Wind Onshore,4842.577,2019-03-16T13:30:00Z,2019-03-16,28
2019-03-16T14:58:10Z,Wind generation,Wind Offshore,4775.011,2019-03-16T13:30:00Z,2019-03-16,28
2019-03-16T14:58:10Z,Solar generation,Solar,1550.000,2019-03-16T13:30:00Z,2019-03-16,28
2019-03-16T14:28:09Z,Wind generation,Wind Onshore,4836.167,2019-03-16T13:00:00Z,2019-03-16,27
2019-03-16T14:28:09Z,Wind generation,Wind Offshore,4693.355,2019-03-16T13:00:00Z,2019-03-16,27
