StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2019-01-19T23:30:00Z,APXMIDP,2019-01-19,48,62.71,336.150
2019-01-19T23:30:00Z,N2EXMIDP,2019-01-19,48,0.00,0.000
2019-01-19T23:00:00Z,APXMIDP,2019-01-19,47,64.28,252.550
2019-01-19T23:00:00Z,N2EXMIDP,2019-01-19,47,0.00,0.000
2019-01-19T22:30:00Z,APXMIDP,2019-01-19,46,60.13,510.100
2019-01-19T22:30:00Z,N2EXMIDP,2019-01-19,46,0.00,0.000
2019-01-19T22:00:00Z,APXMIDP,2019-01-19,45,58.47,546.900
2019-01-19T22:00:00Z,N2EXMIDP,2019-01-19,45,0.00,0.000
2019-01-19T21:30:00Z,APXMIDP,2019-01-19,44,61.46,330.000
2019-01-19T21:30:00Z,N2EXMIDP,2019-01-19,44,0.00,0.000
2019-01-19T21:00:00Z,APXMIDP,2019-01-19,43,62.03,348.700
2019-01-19T21:00:00Z,N2EXMIDP,2019-01-19,43,0.00,0.000
2019-01-19T20:30:00Z,APXMIDP,2019-01-19,42,66.98,345.350
2019-01-19T20:30:00Z,N2EXMIDP,2019-01-19,42,0.00,0.000
2019-01-19T20:00:00Z,APXMIDP,2019-01-19,41,70.77,468.800
2019-01-19T20:00:00Z,N2EXMIDP,2019-01-19,41,0.00,0.000
2019-01-19T19:30:00Z,APXMIDP,2019-01-19,40,73.15,510.200
2019-01-19T19:30:00Z,N2EXMIDP,2019-01-19,40,0.00,0.000
2019-01-19T19:00:00Z,APXMIDP,2019-01-19,39,74.14,54.000
2019-01-19T19:00:00Z,N2EXMIDP,2019-01-19,39,0.00,0.000
2019-01-19T18:30:00Z,APXMIDP,2019-01-19,38,89.45,728.350
2019-01-19T18:30:00Z,N2EXMIDP,2019-01-19,38,0.00,0.000
2019-01-19T18:00:00Z,APXMIDP,2019-01-19,37,91.56,769.000
2019-01-19T18:00:00Z,N2EXMIDP,2019-01-19,37,0.00,0.000
2019-01-19T17:30:00Z,APXMIDP,2019-01-19,36,92.66,768.450
2019-01-19T17:30:00Z,N2EXMIDP,2019-01-19,36,0.00,0.000
2019-01-19T17:00:00Z,APXMIDP,2019-01-19,35,93.28,745.550
2019-01-19T17:00:00Z,N2EXMIDP,2019-01-19,35,0.00,0.000
2019-01-19T16:30:00Z,APXMIDP,2019-01-19,34,88.15,972.550
2019-01-19T16:30:00Z,N2EXMIDP,2019-01-19,34,0.00,0.000
2019-01-19T16:00:00Z,APXMIDP,2019-01-19,33,82.00,943.400
2019-01-19T16:00:00Z,N2EXMIDP,2019-01-19,33,0.00,0.000
2019-01-19T15:30:00Z,APXMIDP,2019-01-19,32,82.07,647.200
2019-01-19T15:30:00Z,N2EXMIDP,2019-01-19,32,0.00,0.000
2019-01-19T15:00:00Z,APXMIDP,2019-01-19,31,76.36,577.500
2019-01-19T15:00:00Z,N2EXMIDP,2019-01-19,31,0.00,0.000
2019-01-19T14:30:00Z,APXMIDP,2019-01-19,30,66.12,568.600
2019-01-19T14:30:00Z,N2EXMIDP,2019-01-19,30,0.00,0.000
2019-01-19T14:00:00Z,APXMIDP,2019-01-19,29,65.38,445.550
2019-01-19T14:00:00Z,N2EXMIDP,2019-01-19,29,0.00,0.000
2019-01-19T13:30:00Z,APXMIDP,2019-01-19,28,67.16,518.350
2019-01-19T13:30:00Z,N2EXMIDP,2019-01-19,28,0.00,0.000
2019-01-19T13:00:00Z,APXMIDP,2019-01-19,27,65.45,494.400
2019-01-19T13:00:00Z,N2EXMIDP,2019-01-19,27,0.00,0.000
2019-01-19T12:30:00Z,APXMIDP,2019-01-19,26,65.00,707.800
2019-01-19T12:30:00Z,N2EXMIDP,2019-01-19,26,0.00,0.000
2019-01-19T12:00:00Z,APXMIDP,2019-01-19,25,65.36,654.700
2019-01-19T12:00:00Z,N2EXMIDP,2019-01-19,25,0.00,0.000
2019-01-19T11:30:00Z,APXMIDP,2019-01-19,24,65.96,373.500
2019-01-19T11:30:00Z,N2EXMIDP,2019-01-19,24,0.00,0.000
2019-01-19T11:00:00Z,APXMIDP,2019-01-19,23,66.26,348.500
2019-01-19T11:00:00Z,N2EXMIDP,2019-01-19,23,0.00,0.000
2019-01-19T10:30:00Z,APXMIDP,2019-01-19,22,59.92,531.400
2019-01-19T10:30:00Z,N2EXMIDP,2019-01-19,22,0.00,0.000
2019-01-19T10:00:00Z,APXMIDP,2019-01-19,21,62.02,376.200
2019-01-19T10:00:00Z,N2EXMIDP,2019-01-19,21,0.00,0.000
2019-01-19T09:30:00Z,APXMIDP,2019-01-19,20,62.01,348.500
2019-01-19T09:30:00Z,N2EXMIDP,2019-01-19,20,0.00,0.000
2019-01-19T09:00:00Z,APXMIDP,2019-01-19,19,61.75,368.850
2019-01-19T09:00:00Z,N2EXMIDP,2019-01-19,19,0.00,0.000
2019-01-19T08:30:00Z,APXMIDP,2019-01-19,18,61.98,653.400
2019-01-19T08:30:00Z,N2EXMIDP,2019-01-19,18,0.00,0.000
2019-01-19T08:00:00Z,APXMIDP,2019-01-19,17,61.81,831.000
2019-01-19T08:00:00Z,N2EXMIDP,2019-01-19,17,0.00,0.000
2019-01-19T07:30:00Z,APXMIDP,2019-01-19,16,64.00,281.900
2019-01-19T07:30:00Z,N2EXMIDP,2019-01-19,16,0.00,0.000
2019-01-19T07:00:00Z,APXMIDP,2019-01-19,15,65.11,196.000
2019-01-19T07:00:00Z,N2EXMIDP,2019-01-19,15,0.00,0.000
2019-01-19T06:30:00Z,APXMIDP,2019-01-19,14,60.15,352.000
2019-01-19T06:30:00Z,N2EXMIDP,2019-01-19,14,0.00,0.000
2019-01-19T06:00:00Z,APXMIDP,2019-01-19,13,63.47,310.150
2019-01-19T06:00:00Z,N2EXMIDP,2019-01-19,13,0.00,0.000
2019-01-19T05:30:00Z,APXMIDP,2019-01-19,12,53.54,111.500
2019-01-19T05:30:00Z,N2EXMIDP,2019-01-19,12,0.00,0.000
2019-01-19T05:00:00Z,APXMIDP,2019-01-19,11,53.54,111.500
2019-01-19T05:00:00Z,N2EXMIDP,2019-01-19,11,0.00,0.000
2019-01-19T04:30:00Z,APXMIDP,2019-01-19,10,54.14,268.200
2019-01-19T04:30:00Z,N2EXMIDP,2019-01-19,10,0.00,0.000
2019-01-19T04:00:00Z,APXMIDP,2019-01-19,9,53.79,242.850
2019-01-19T04:00:00Z,N2EXMIDP,2019-01-19,9,0.00,0.000
2019-01-19T03:30:00Z,APXMIDP,2019-01-19,8,53.01,146.500
2019-01-19T03:30:00Z,N2EXMIDP,2019-01-19,8,0.00,0.000
2019-01-19T03:00:00Z,APXMIDP,2019-01-19,7,53.01,146.500
2019-01-19T03:00:00Z,N2EXMIDP,2019-01-19,7,0.00,0.000
2019-01-19T02:30:00Z,APXMIDP,2019-01-19,6,57.75,309.250
2019-01-19T02:30:00Z,N2EXMIDP,2019-01-19,6,0.00,0.000
2019-01-19T02:00:00Z,APXMIDP,2019-01-19,5,58.50,380.650
2019-01-19T02:00:00Z,N2EXMIDP,2019-01-19,5,0.00,0.000
2019-01-19T01:30:00Z,APXMIDP,2019-01-19,4,59.76,291.750
2019-01-19T01:30:00Z,N2EXMIDP,2019-01-19,4,0.00,0.000
2019-01-19T01:00:00Z,APXMIDP,2019-01-19,3,57.31,199.500
2019-01-19T01:00:00Z,N2EXMIDP,2019-01-19,3,0.00,0.000
2019-01-19T00:30:00Z,APXMIDP,2019-01-19,2,55.22,196.650
2019-01-19T00:30:00Z,N2EXMIDP,2019-01-19,2,0.00,0.000
2019-01-19T00:00:00Z,APXMIDP,2019-01-19,1,52.84,99.500
2019-01-19T00:00:00Z,N2EXMIDP,2019-01-19,1,0.00,0.000
2019-01-18T23:30:00Z,APXMIDP,2019-01-18,48,56.87,221.750
2019-01-18T23:30:00Z,N2EXMIDP,2019-01-18,48,0.00,0.000
2019-01-18T23:00:00Z,APXMIDP,2019-01-18,47,53.84,433.200
2019-01-18T23:00:00Z,N2EXMIDP,2019-01-18,47,0.00,0.000
2019-01-18T22:30:00Z,APXMIDP,2019-01-18,46,57.96,1702.900
2019-01-18T22:30:00Z,N2EXMIDP,2019-01-18,46,0.00,0.000
2019-01-18T22:00:00Z,APXMIDP,2019-01-18,45,58.20,1411.600
2019-01-18T22:00:00Z,N2EXMIDP,2019-01-18,45,0.00,0.000
2019-01-18T21:30:00Z,APXMIDP,2019-01-18,44,58.58,1243.700
2019-01-18T21:30:00Z,N2EXMIDP,2019-01-18,44,0.00,0.000
2019-01-18T21:00:00Z,APXMIDP,2019-01-18,43,58.59,1223.200
2019-01-18T21:00:00Z,N2EXMIDP,2019-01-18,43,0.00,0.000
2019-01-18T20:30:00Z,APXMIDP,2019-01-18,42,58.25,1477.250
2019-01-18T20:30:00Z,N2EXMIDP,2019-01-18,42,0.00,0.000
2019-01-18T20:00:00Z,APXMIDP,2019-01-18,41,58.61,1163.300
2019-01-18T20:00:00Z,N2EXMIDP,2019-01-18,41,0.00,0.000
2019-01-18T19:30:00Z,APXMIDP,2019-01-18,40,59.49,1180.300
2019-01-18T19:30:00Z,N2EXMIDP,2019-01-18,40,0.00,0.000
2019-01-18T19:00:00Z,APXMIDP,2019-01-18,39,58.39,1232.950
2019-01-18T19:00:00Z,N2EXMIDP,2019-01-18,39,0.00,0.000
2019-01-18T18:30:00Z,APXMIDP,2019-01-18,38,61.55,1528.900
2019-01-18T18:30:00Z,N2EXMIDP,2019-01-18,38,0.00,0.000
2019-01-18T18:00:00Z,APXMIDP,2019-01-18,37,61.51,1412.500
2019-01-18T18:00:00Z,N2EXMIDP,2019-01-18,37,0.00,0.000
2019-01-18T17:30:00Z,APXMIDP,2019-01-18,36,62.94,1158.200
2019-01-18T17:30:00Z,N2EXMIDP,2019-01-18,36,0.00,0.000
2019-01-18T17:00:00Z,APXMIDP,2019-01-18,35,63.92,1036.850
2019-01-18T17:00:00Z,N2EXMIDP,2019-01-18,35,0.00,0.000
2019-01-18T16:30:00Z,APXMIDP,2019-01-18,34,63.57,1021.050
2019-01-18T16:30:00Z,N2EXMIDP,2019-01-18,34,0.00,0.000
2019-01-18T16:00:00Z,APXMIDP,2019-01-18,33,60.01,1279.050
2019-01-18T16:00:00Z,N2EXMIDP,2019-01-18,33,0.00,0.000
2019-01-18T15:30:00Z,APXMIDP,2019-01-18,32,61.03,1107.450
2019-01-18T15:30:00Z,N2EXMIDP,2019-01-18,32,0.00,0.000
2019-01-18T15:00:00Z,APXMIDP,2019-01-18,31,60.07,855.800
2019-01-18T15:00:00Z,N2EXMIDP,2019-01-18,31,0.00,0.000
2019-01-18T14:30:00Z,APXMIDP,2019-01-18,30,56.94,1072.700
2019-01-18T14:30:00Z,N2EXMIDP,2019-01-18,30,0.00,0.000
2019-01-18T14:00:00Z,APXMIDP,2019-01-18,29,57.33,885.850
2019-01-18T14:00:00Z,N2EXMIDP,2019-01-18,29,0.00,0.000
2019-01-18T13:30:00Z,APXMIDP,2019-01-18,28,56.66,908.050
2019-01-18T13:30:00Z,N2EXMIDP,2019-01-18,28,0.00,0.000
2019-01-18T13:00:00Z,APXMIDP,2019-01-18,27,57.12,770.450
2019-01-18T13:00:00Z,N2EXMIDP,2019-01-18,27,0.00,0.000
2019-01-18T12:30:00Z,APXMIDP,2019-01-18,26,57.92,791.700
2019-01-18T12:30:00Z,N2EXMIDP,2019-01-18,26,0.00,0.000
2019-01-18T12:00:00Z,APXMIDP,2019-01-18,25,58.90,680.950
2019-01-18T12:00:00Z,N2EXMIDP,2019-01-18,25,0.00,0.000
2019-01-18T11:30:00Z,APXMIDP,2019-01-18,24,59.75,556.650
2019-01-18T11:30:00Z,N2EXMIDP,2019-01-18,24,0.00,0.000
2019-01-18T11:00:00Z,APXMIDP,2019-01-18,23,59.82,381.500
2019-01-18T11:00:00Z,N2EXMIDP,2019-01-18,23,0.00,0.000
2019-01-18T10:30:00Z,APXMIDP,2019-01-18,22,59.12,755.550
2019-01-18T10:30:00Z,N2EXMIDP,2019-01-18,22,0.00,0.000
2019-01-18T10:00:00Z,APXMIDP,2019-01-18,21,59.08,665.250
2019-01-18T10:00:00Z,N2EXMIDP,2019-01-18,21,0.00,0.000
2019-01-18T09:30:00Z,APXMIDP,2019-01-18,20,60.27,470.750
2019-01-18T09:30:00Z,N2EXMIDP,2019-01-18,20,0.00,0.000
2019-01-18T09:00:00Z,APXMIDP,2019-01-18,19,60.37,408.250
2019-01-18T09:00:00Z,N2EXMIDP,2019-01-18,19,0.00,0.000
2019-01-18T08:30:00Z,APXMIDP,2019-01-18,18,54.75,366.500
2019-01-18T08:30:00Z,N2EXMIDP,2019-01-18,18,0.00,0.000
2019-01-18T08:00:00Z,APXMIDP,2019-01-18,17,56.14,450.250
2019-01-18T08:00:00Z,N2EXMIDP,2019-01-18,17,0.00,0.000
2019-01-18T07:30:00Z,APXMIDP,2019-01-18,16,58.83,447.600
2019-01-18T07:30:00Z,N2EXMIDP,2019-01-18,16,0.00,0.000
2019-01-18T07:00:00Z,APXMIDP,2019-01-18,15,51.73,416.850
2019-01-18T07:00:00Z,N2EXMIDP,2019-01-18,15,0.00,0.000
2019-01-18T06:30:00Z,APXMIDP,2019-01-18,14,55.51,615.450
2019-01-18T06:30:00Z,N2EXMIDP,2019-01-18,14,0.00,0.000
2019-01-18T06:00:00Z,APXMIDP,2019-01-18,13,62.39,626.900
2019-01-18T06:00:00Z,N2EXMIDP,2019-01-18,13,0.00,0.000
2019-01-18T05:30:00Z,APXMIDP,2019-01-18,12,50.76,379.750
2019-01-18T05:30:00Z,N2EXMIDP,2019-01-18,12,0.00,0.000
2019-01-18T05:00:00Z,APXMIDP,2019-01-18,11,53.56,339.800
2019-01-18T05:00:00Z,N2EXMIDP,2019-01-18,11,0.00,0.000
2019-01-18T04:30:00Z,APXMIDP,2019-01-18,10,48.66,266.150
2019-01-18T04:30:00Z,N2EXMIDP,2019-01-18,10,0.00,0.000
2019-01-18T04:00:00Z,APXMIDP,2019-01-18,9,50.82,323.950
2019-01-18T04:00:00Z,N2EXMIDP,2019-01-18,9,0.00,0.000
2019-01-18T03:30:00Z,APXMIDP,2019-01-18,8,50.73,363.500
2019-01-18T03:30:00Z,N2EXMIDP,2019-01-18,8,0.00,0.000
2019-01-18T03:00:00Z,APXMIDP,2019-01-18,7,51.31,332.750
2019-01-18T03:00:00Z,N2EXMIDP,2019-01-18,7,0.00,0.000
2019-01-18T02:30:00Z,APXMIDP,2019-01-18,6,51.56,298.500
2019-01-18T02:30:00Z,N2EXMIDP,2019-01-18,6,0.00,0.000
2019-01-18T02:00:00Z,APXMIDP,2019-01-18,5,51.00,185.000
2019-01-18T02:00:00Z,N2EXMIDP,2019-01-18,5,0.00,0.000
2019-01-18T01:30:00Z,APXMIDP,2019-01-18,4,50.70,199.500
2019-01-18T01:30:00Z,N2EXMIDP,2019-01-18,4,0.00,0.000
2019-01-18T01:00:00Z,APXMIDP,2019-01-18,3,51.24,157.000
2019-01-18T01:00:00Z,N2EXMIDP,2019-01-18,3,0.00,0.000
2019-01-18T00:30:00Z,APXMIDP,2019-01-18,2,51.45,162.500
2019-01-18T00:30:00Z,N2EXMIDP,2019-01-18,2,0.00,0.000
2019-01-18T00:00:00Z,APXMIDP,2019-01-18,1,49.94,191.150
2019-01-18T00:00:00Z,N2EXMIDP,2019-01-18,1,0.00,0.000
2019-01-17T23:30:00Z,APXMIDP,2019-01-17,48,54.67,197.050
2019-01-17T23:30:00Z,N2EXMIDP,2019-01-17,48,0.00,0.000
2019-01-17T23:00:00Z,APXMIDP,2019-01-17,47,57.97,465.100
2019-01-17T23:00:00Z,N2EXMIDP,2019-01-17,47,0.00,0.000
2019-01-17T22:30:00Z,APXMIDP,2019-01-17,46,54.80,2202.600
2019-01-17T22:30:00Z,N2EXMIDP,2019-01-17,46,0.00,0.000
2019-01-17T22:00:00Z,APXMIDP,2019-01-17,45,54.87,1718.200
2019-01-17T22:00:00Z,N2EXMIDP,2019-01-17,45,0.00,0.000
