StartTime;DataProvider;SettlementDate;SettlementPeriod;Price;Volume
2021-02-23T23:30:00Z;APXMIDP;23.02.2021;48;-9.71;900.350
2021-02-23T23:30:00Z;N2EXMIDP;23.02.2021;48;0.00;0.000
2021-02-23T23:00:00Z;APXMIDP;23.02.2021;47;Jul.54;755.800
2021-02-23T23:00:00Z;N2EXMIDP;23.02.2021;47;0.00;0.000
2021-02-23T22:30:00Z;APXMIDP;23.02.2021;46;29.23;1256.900
2021-02-23T22:30:00Z;N2EXMIDP;23.02.2021;46;0.00;0.000
2021-02-23T22:00:00Z;APXMIDP;23.02.2021;45;36.65;1821.500
2021-02-23T22:00:00Z;N2EXMIDP;23.02.2021;45;0.00;0.000
2021-02-23T21:30:00Z;APXMIDP;23.02.2021;44;33.27;1298.800
2021-02-23T21:30:00Z;N2EXMIDP;23.02.2021;44;0.00;0.000
2021-02-23T21:00:00Z;APXMIDP;23.02.2021;43;43.12;1213.700
2021-02-23T21:00:00Z;N2EXMIDP;23.02.2021;43;0.00;0.000
2021-02-23T20:30:00Z;APXMIDP;23.02.2021;42;42.17;931.900
2021-02-23T20:30:00Z;N2EXMIDP;23.02.2021;42;0.00;0.000
2021-02-23T20:00:00Z;APXMIDP;23.02.2021;41;44.17;912.250
2021-02-23T20:00:00Z;N2EXMIDP;23.02.2021;41;0.00;0.000
2021-02-23T19:30:00Z;APXMIDP;23.02.2021;40;46.92;1011.400
2021-02-23T19:30:00Z;N2EXMIDP;23.02.2021;40;0.00;0.000
2021-02-23T19:00:00Z;APXMIDP;23.02.2021;39;54.41;1299.250
2021-02-23T19:00:00Z;N2EXMIDP;23.02.2021;39;0.00;0.000
2021-02-23T18:30:00Z;APXMIDP;23.02.2021;38;59.40;1654.600
2021-02-23T18:30:00Z;N2EXMIDP;23.02.2021;38;0.00;0.000
2021-02-23T18:00:00Z;APXMIDP;23.02.2021;37;60.10;1541.500
2021-02-23T18:00:00Z;N2EXMIDP;23.02.2021;37;0.00;0.000
2021-02-23T17:30:00Z;APXMIDP;23.02.2021;36;59.32;1367.650
2021-02-23T17:30:00Z;N2EXMIDP;23.02.2021;36;0.00;0.000
2021-02-23T17:00:00Z;APXMIDP;23.02.2021;35;56.53;1542.650
2021-02-23T17:00:00Z;N2EXMIDP;23.02.2021;35;0.00;0.000
2021-02-23T16:30:00Z;APXMIDP;23.02.2021;34;45.01;1546.250
2021-02-23T16:30:00Z;N2EXMIDP;23.02.2021;34;0.00;0.000
2021-02-23T16:00:00Z;APXMIDP;23.02.2021;33;35.20;1242.350
2021-02-23T16:00:00Z;N2EXMIDP;23.02.2021;33;0.00;0.000
2021-02-23T15:30:00Z;APXMIDP;23.02.2021;32;40.77;1122.100
2021-02-23T15:30:00Z;N2EXMIDP;23.02.2021;32;0.00;0.000
2021-02-23T15:00:00Z;APXMIDP;23.02.2021;31;43.85;1317.800
2021-02-23T15:00:00Z;N2EXMIDP;23.02.2021;31;0.00;0.000
2021-02-23T14:30:00Z;APXMIDP;23.02.2021;30;32.32;1602.900
2021-02-23T14:30:00Z;N2EXMIDP;23.02.2021;30;0.00;0.000
2021-02-23T14:00:00Z;APXMIDP;23.02.2021;29;33.51;1587.000
2021-02-23T14:00:00Z;N2EXMIDP;23.02.2021;29;0.00;0.000
2021-02-23T13:30:00Z;APXMIDP;23.02.2021;28;32.05;1473.650
2021-02-23T13:30:00Z;N2EXMIDP;23.02.2021;28;0.00;0.000
2021-02-23T13:00:00Z;APXMIDP;23.02.2021;27;34.30;1582.900
2021-02-23T13:00:00Z;N2EXMIDP;23.02.2021;27;0.00;0.000
2021-02-23T12:30:00Z;APXMIDP;23.02.2021;26;30.61;1741.350
2021-02-23T12:30:00Z;N2EXMIDP;23.02.2021;26;0.00;0.000
2021-02-23T12:00:00Z;APXMIDP;23.02.2021;25;30.65;2053.250
2021-02-23T12:00:00Z;N2EXMIDP;23.02.2021;25;0.00;0.000
2021-02-23T11:30:00Z;APXMIDP;23.02.2021;24;18.75;1991.150
2021-02-23T11:30:00Z;N2EXMIDP;23.02.2021;24;0.00;0.000
2021-02-23T11:00:00Z;APXMIDP;23.02.2021;23;15.34;1850.650
2021-02-23T11:00:00Z;N2EXMIDP;23.02.2021;23;0.00;0.000
2021-02-23T10:30:00Z;APXMIDP;23.02.2021;22;30.Jan;1495.300
2021-02-23T10:30:00Z;N2EXMIDP;23.02.2021;22;0.00;0.000
2021-02-23T10:00:00Z;APXMIDP;23.02.2021;21;30.64;1460.750
2021-02-23T10:00:00Z;N2EXMIDP;23.02.2021;21;0.00;0.000
2021-02-23T09:30:00Z;APXMIDP;23.02.2021;20;33.47;1306.350
2021-02-23T09:30:00Z;N2EXMIDP;23.02.2021;20;0.00;0.000
2021-02-23T09:00:00Z;APXMIDP;23.02.2021;19;35.43;1316.700
2021-02-23T09:00:00Z;N2EXMIDP;23.02.2021;19;0.00;0.000
2021-02-23T08:30:00Z;APXMIDP;23.02.2021;18;43.67;1117.350
2021-02-23T08:30:00Z;N2EXMIDP;23.02.2021;18;0.00;0.000
2021-02-23T08:00:00Z;APXMIDP;23.02.2021;17;35.61;1140.300
2021-02-23T08:00:00Z;N2EXMIDP;23.02.2021;17;0.00;0.000
2021-02-23T07:30:00Z;APXMIDP;23.02.2021;16;37.50;1281.150
2021-02-23T07:30:00Z;N2EXMIDP;23.02.2021;16;0.00;0.000
2021-02-23T07:00:00Z;APXMIDP;23.02.2021;15;34.87;993.800
2021-02-23T07:00:00Z;N2EXMIDP;23.02.2021;15;0.00;0.000
2021-02-23T06:30:00Z;APXMIDP;23.02.2021;14;50.72;1150.900
2021-02-23T06:30:00Z;N2EXMIDP;23.02.2021;14;0.00;0.000
2021-02-23T06:00:00Z;APXMIDP;23.02.2021;13;35.06;974.850
2021-02-23T06:00:00Z;N2EXMIDP;23.02.2021;13;0.00;0.000
