StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2022-03-19T23:30:00Z,APXMIDP,2022-03-19,48,22.91,452.200
2022-03-19T23:30:00Z,N2EXMIDP,2022-03-19,48,0.00,0.000
2022-03-19T23:00:00Z,APXMIDP,2022-03-19,47,43.27,430.250
2022-03-19T23:00:00Z,N2EXMIDP,2022-03-19,47,0.00,0.000
2022-03-19T22:30:00Z,APXMIDP,2022-03-19,46,91.30,1237.900
2022-03-19T22:30:00Z,N2EXMIDP,2022-03-19,46,0.00,0.000
2022-03-19T22:00:00Z,APXMIDP,2022-03-19,45,93.68,1168.200
2022-03-19T22:00:00Z,N2EXMIDP,2022-03-19,45,0.00,0.000
2022-03-19T21:30:00Z,APXMIDP,2022-03-19,44,91.93,969.700
2022-03-19T21:30:00Z,N2EXMIDP,2022-03-19,44,0.00,0.000
2022-03-19T21:00:00Z,APXMIDP,2022-03-19,43,85.98,1068.000
2022-03-19T21:00:00Z,N2EXMIDP,2022-03-19,43,0.00,0.000
2022-03-19T20:30:00Z,APXMIDP,2022-03-19,42,127.55,996.350
2022-03-19T20:30:00Z,N2EXMIDP,2022-03-19,42,0.00,0.000
2022-03-19T20:00:00Z,APXMIDP,2022-03-19,41,179.18,1217.100
2022-03-19T20:00:00Z,N2EXMIDP,2022-03-19,41,0.00,0.000
2022-03-19T19:30:00Z,APXMIDP,2022-03-19,40,167.30,1242.750
2022-03-19T19:30:00Z,N2EXMIDP,2022-03-19,40,0.00,0.000
2022-03-19T19:00:00Z,APXMIDP,2022-03-19,39,189.70,1370.500
2022-03-19T19:00:00Z,N2EXMIDP,2022-03-19,39,0.00,0.000
2022-03-19T18:30:00Z,APXMIDP,2022-03-19,38,170.10,1813.900
2022-03-19T18:30:00Z,N2EXMIDP,2022-03-19,38,0.00,0.000
2022-03-19T18:00:00Z,APXMIDP,2022-03-19,37,160.55,1686.000
2022-03-19T18:00:00Z,N2EXMIDP,2022-03-19,37,0.00,0.000
2022-03-19T17:30:00Z,APXMIDP,2022-03-19,36,147.84,1576.650
2022-03-19T17:30:00Z,N2EXMIDP,2022-03-19,36,0.00,0.000
2022-03-19T17:00:00Z,APXMIDP,2022-03-19,35,119.08,1571.850
2022-03-19T17:00:00Z,N2EXMIDP,2022-03-19,35,0.00,0.000
2022-03-19T16:30:00Z,APXMIDP,2022-03-19,34,66.40,1595.600
2022-03-19T16:30:00Z,N2EXMIDP,2022-03-19,34,0.00,0.000
2022-03-19T16:00:00Z,APXMIDP,2022-03-19,33,20.84,1557.750
2022-03-19T16:00:00Z,N2EXMIDP,2022-03-19,33,0.00,0.000
2022-03-19T15:30:00Z,APXMIDP,2022-03-19,32,-18.60,1536.700
2022-03-19T15:30:00Z,N2EXMIDP,2022-03-19,32,0.00,0.000
2022-03-19T15:00:00Z,APXMIDP,2022-03-19,31,-22.27,1554.100
2022-03-19T15:00:00Z,N2EXMIDP,2022-03-19,31,0.00,0.000
2022-03-19T14:30:00Z,APXMIDP,2022-03-19,30,-48.31,1308.300
2022-03-19T14:30:00Z,N2EXMIDP,2022-03-19,30,0.00,0.000
2022-03-19T14:00:00Z,APXMIDP,2022-03-19,29,-33.97,1272.050
2022-03-19T14:00:00Z,N2EXMIDP,2022-03-19,29,0.00,0.000
2022-03-19T13:30:00Z,APXMIDP,2022-03-19,28,-29.98,1246.450
2022-03-19T13:30:00Z,N2EXMIDP,2022-03-19,28,0.00,0.000
2022-03-19T13:00:00Z,APXMIDP,2022-03-19,27,-22.00,1467.050
2022-03-19T13:00:00Z,N2EXMIDP,2022-03-19,27,0.00,0.000
2022-03-19T12:30:00Z,APXMIDP,2022-03-19,26,-6.26,1534.650
2022-03-19T12:30:00Z,N2EXMIDP,2022-03-19,26,0.00,0.000
2022-03-19T12:00:00Z,APXMIDP,2022-03-19,25,5.85,1510.750
2022-03-19T12:00:00Z,N2EXMIDP,2022-03-19,25,0.00,0.000
2022-03-19T11:30:00Z,APXMIDP,2022-03-19,24,12.49,1328.250
2022-03-19T11:30:00Z,N2EXMIDP,2022-03-19,24,0.00,0.000
2022-03-19T11:00:00Z,APXMIDP,2022-03-19,23,30.32,1418.250
2022-03-19T11:00:00Z,N2EXMIDP,2022-03-19,23,0.00,0.000
2022-03-19T10:30:00Z,APXMIDP,2022-03-19,22,90.60,1230.100
2022-03-19T10:30:00Z,N2EXMIDP,2022-03-19,22,0.00,0.000
2022-03-19T10:00:00Z,APXMIDP,2022-03-19,21,128.16,1419.750
2022-03-19T10:00:00Z,N2EXMIDP,2022-03-19,21,0.00,0.000
2022-03-19T09:30:00Z,APXMIDP,2022-03-19,20,176.50,1288.050
2022-03-19T09:30:00Z,N2EXMIDP,2022-03-19,20,0.00,0.000
2022-03-19T09:00:00Z,APXMIDP,2022-03-19,19,191.51,1238.050
2022-03-19T09:00:00Z,N2EXMIDP,2022-03-19,19,0.00,0.000
2022-03-19T08:30:00Z,APXMIDP,2022-03-19,18,180.81,1098.600
2022-03-19T08:30:00Z,N2EXMIDP,2022-03-19,18,0.00,0.000
2022-03-19T08:00:00Z,APXMIDP,2022-03-19,17,166.56,1285.900
2022-03-19T08:00:00Z,N2EXMIDP,2022-03-19,17,0.00,0.000
2022-03-19T07:30:00Z,APXMIDP,2022-03-19,16,158.49,1306.400
2022-03-19T07:30:00Z,N2EXMIDP,2022-03-19,16,0.00,0.000
2022-03-19T07:00:00Z,APXMIDP,2022-03-19,15,124.20,921.700
2022-03-19T07:00:00Z,N2EXMIDP,2022-03-19,15,0.00,0.000
2022-03-19T06:30:00Z,APXMIDP,2022-03-19,14,100.29,1038.750
2022-03-19T06:30:00Z,N2EXMIDP,2022-03-19,14,0.00,0.000
2022-03-19T06:00:00Z,APXMIDP,2022-03-19,13,84.82,812.850
2022-03-19T06:00:00Z,N2EXMIDP,2022-03-19,13,0.00,0.000
2022-03-19T05:30:00Z,APXMIDP,2022-03-19,12,92.16,683.900
2022-03-19T05:30:00Z,N2EXMIDP,2022-03-19,12,0.00,0.000
2022-03-19T05:00:00Z,APXMIDP,2022-03-19,11,67.72,505.850
2022-03-19T05:00:00Z,N2EXMIDP,2022-03-19,11,0.00,0.000
2022-03-19T04:30:00Z,APXMIDP,2022-03-19,10,91.52,968.300
2022-03-19T04:30:00Z,N2EXMIDP,2022-03-19,10,0.00,0.000
2022-03-19T04:00:00Z,APXMIDP,2022-03-19,9,93.64,827.500
2022-03-19T04:00:00Z,N2EXMIDP,2022-03-19,9,0.00,0.000
2022-03-19T03:30:00Z,APXMIDP,2022-03-19,8,87.51,836.400
2022-03-19T03:30:00Z,N2EXMIDP,2022-03-19,8,0.00,0.000
2022-03-19T03:00:00Z,APXMIDP,2022-03-19,7,88.37,886.850
2022-03-19T03:00:00Z,N2EXMIDP,2022-03-19,7,0.00,0.000
2022-03-19T02:30:00Z,APXMIDP,2022-03-19,6,82.16,715.100
2022-03-19T02:30:00Z,N2EXMIDP,2022-03-19,6,0.00,0.000
2022-03-19T02:00:00Z,APXMIDP,2022-03-19,5,90.48,822.000
2022-03-19T02:00:00Z,N2EXMIDP,2022-03-19,5,0.00,0.000
2022-03-19T01:30:00Z,APXMIDP,2022-03-19,4,85.22,624.250
2022-03-19T01:30:00Z,N2EXMIDP,2022-03-19,4,0.00,0.000
