StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2017-01-07T23:30:00Z,APXMIDP,2017-01-07,48,43.14,474.000
2017-01-07T23:30:00Z,N2EXMIDP,2017-01-07,48,0.00,0.000
2017-01-07T23:00:00Z,APXMIDP,2017-01-07,47,43.58,573.950
2017-01-07T23:00:00Z,N2EXMIDP,2017-01-07,47,0.00,0.000
2017-01-07T22:30:00Z,APXMIDP,2017-01-07,46,46.14,458.900
2017-01-07T22:30:00Z,N2EXMIDP,2017-01-07,46,0.00,0.000
2017-01-07T22:00:00Z,APXMIDP,2017-01-07,45,46.38,386.700
2017-01-07T22:00:00Z,N2EXMIDP,2017-01-07,45,0.00,0.000
2017-01-07T21:30:00Z,APXMIDP,2017-01-07,44,47.43,563.000
2017-01-07T21:30:00Z,N2EXMIDP,2017-01-07,44,0.00,0.000
2017-01-07T21:00:00Z,APXMIDP,2017-01-07,43,49.82,416.300
2017-01-07T21:00:00Z,N2EXMIDP,2017-01-07,43,0.00,0.000
2017-01-07T20:30:00Z,APXMIDP,2017-01-07,42,51.45,620.900
2017-01-07T20:30:00Z,N2EXMIDP,2017-01-07,42,0.00,0.000
2017-01-07T20:00:00Z,APXMIDP,2017-01-07,41,53.69,549.050
2017-01-07T20:00:00Z,N2EXMIDP,2017-01-07,41,0.00,0.000
2017-01-07T19:30:00Z,APXMIDP,2017-01-07,40,57.37,613.350
2017-01-07T19:30:00Z,N2EXMIDP,2017-01-07,40,0.00,0.000
2017-01-07T19:00:00Z,APXMIDP,2017-01-07,39,63.91,785.300
2017-01-07T19:00:00Z,N2EXMIDP,2017-01-07,39,0.00,0.000
2017-01-07T18:30:00Z,APXMIDP,2017-01-07,38,68.86,847.450
2017-01-07T18:30:00Z,N2EXMIDP,2017-01-07,38,0.00,0.000
2017-01-07T18:00:00Z,APXMIDP,2017-01-07,37,77.39,833.700
2017-01-07T18:00:00Z,N2EXMIDP,2017-01-07,37,0.00,0.000
2017-01-07T17:30:00Z,APXMIDP,2017-01-07,36,83.29,806.950
2017-01-07T17:30:00Z,N2EXMIDP,2017-01-07,36,0.00,0.000
2017-01-07T17:00:00Z,APXMIDP,2017-01-07,35,82.17,688.550
2017-01-07T17:00:00Z,N2EXMIDP,2017-01-07,35,0.00,0.000
2017-01-07T16:30:00Z,APXMIDP,2017-01-07,34,72.39,915.150
2017-01-07T16:30:00Z,N2EXMIDP,2017-01-07,34,0.00,0.000
2017-01-07T16:00:00Z,APXMIDP,2017-01-07,33,52.38,722.100
2017-01-07T16:00:00Z,N2EXMIDP,2017-01-07,33,0.00,0.000
2017-01-07T15:30:00Z,APXMIDP,2017-01-07,32,59.52,732.350
2017-01-07T15:30:00Z,N2EXMIDP,2017-01-07,32,0.00,0.000
2017-01-07T15:00:00Z,APXMIDP,2017-01-07,31,59.02,641.350
2017-01-07T15:00:00Z,N2EXMIDP,2017-01-07,31,0.00,0.000
2017-01-07T14:30:00Z,APXMIDP,2017-01-07,30,47.31,430.000
2017-01-07T14:30:00Z,N2EXMIDP,2017-01-07,30,0.00,0.000
2017-01-07T14:00:00Z,APXMIDP,2017-01-07,29,48.54,377.000
2017-01-07T14:00:00Z,N2EXMIDP,2017-01-07,29,0.00,0.000
2017-01-07T13:30:00Z,APXMIDP,2017-01-07,28,48.44,414.100
2017-01-07T13:30:00Z,N2EXMIDP,2017-01-07,28,0.00,0.000
2017-01-07T13:00:00Z,APXMIDP,2017-01-07,27,48.87,376.500
2017-01-07T13:00:00Z,N2EXMIDP,2017-01-07,27,0.00,0.000
2017-01-07T12:30:00Z,APXMIDP,2017-01-07,26,53.81,533.900
2017-01-07T12:30:00Z,N2EXMIDP,2017-01-07,26,0.00,0.000
2017-01-07T12:00:00Z,APXMIDP,2017-01-07,25,54.21,576.050
2017-01-07T12:00:00Z,N2EXMIDP,2017-01-07,25,0.00,0.000
2017-01-07T11:30:00Z,APXMIDP,2017-01-07,24,53.57,702.050
2017-01-07T11:30:00Z,N2EXMIDP,2017-01-07,24,0.00,0.000
2017-01-07T11:00:00Z,APXMIDP,2017-01-07,23,52.71,565.350
2017-01-07T11:00:00Z,N2EXMIDP,2017-01-07,23,0.00,0.000
2017-01-07T10:30:00Z,APXMIDP,2017-01-07,22,49.19,469.700
2017-01-07T10:30:00Z,N2EXMIDP,2017-01-07,22,0.00,0.000
2017-01-07T10:00:00Z,APXMIDP,2017-01-07,21,50.26,422.750
2017-01-07T10:00:00Z,N2EXMIDP,2017-01-07,21,0.00,0.000
2017-01-07T09:30:00Z,APXMIDP,2017-01-07,20,47.01,385.250
2017-01-07T09:30:00Z,N2EXMIDP,2017-01-07,20,0.00,0.000
2017-01-07T09:00:00Z,APXMIDP,2017-01-07,19,45.76,461.000
2017-01-07T09:00:00Z,N2EXMIDP,2017-01-07,19,0.00,0.000
2017-01-07T08:30:00Z,APXMIDP,2017-01-07,18,42.35,493.200
2017-01-07T08:30:00Z,N2EXMIDP,2017-01-07,18,0.00,0.000
2017-01-07T08:00:00Z,APXMIDP,2017-01-07,17,43.98,348.750
2017-01-07T08:00:00Z,N2EXMIDP,2017-01-07,17,0.00,0.000
2017-01-07T07:30:00Z,APXMIDP,2017-01-07,16,40.24,334.250
2017-01-07T07:30:00Z,N2EXMIDP,2017-01-07,16,0.00,0.000
2017-01-07T07:00:00Z,APXMIDP,2017-01-07,15,39.82,484.950
2017-01-07T07:00:00Z,N2EXMIDP,2017-01-07,15,0.00,0.000
2017-01-07T06:30:00Z,APXMIDP,2017-01-07,14,40.04,888.250
2017-01-07T06:30:00Z,N2EXMIDP,2017-01-07,14,0.00,0.000
2017-01-07T06:00:00Z,APXMIDP,2017-01-07,13,41.85,623.850
2017-01-07T06:00:00Z,N2EXMIDP,2017-01-07,13,0.00,0.000
2017-01-07T05:30:00Z,APXMIDP,2017-01-07,12,39.56,583.900
2017-01-07T05:30:00Z,N2EXMIDP,2017-01-07,12,0.00,0.000
2017-01-07T05:00:00Z,APXMIDP,2017-01-07,11,39.86,373.200
2017-01-07T05:00:00Z,N2EXMIDP,2017-01-07,11,0.00,0.000
2017-01-07T04:30:00Z,APXMIDP,2017-01-07,10,40.55,433.600
2017-01-07T04:30:00Z,N2EXMIDP,2017-01-07,10,0.00,0.000
2017-01-07T04:00:00Z,APXMIDP,2017-01-07,9,40.64,504.550
2017-01-07T04:00:00Z,N2EXMIDP,2017-01-07,9,0.00,0.000
2017-01-07T03:30:00Z,APXMIDP,2017-01-07,8,40.38,416.900
2017-01-07T03:30:00Z,N2EXMIDP,2017-01-07,8,0.00,0.000
2017-01-07T03:00:00Z,APXMIDP,2017-01-07,7,41.55,368.600
2017-01-07T03:00:00Z,N2EXMIDP,2017-01-07,7,0.00,0.000
2017-01-07T02:30:00Z,APXMIDP,2017-01-07,6,44.31,258.950
2017-01-07T02:30:00Z,N2EXMIDP,2017-01-07,6,0.00,0.000
2017-01-07T02:00:00Z,APXMIDP,2017-01-07,5,44.68,336.000
2017-01-07T02:00:00Z,N2EXMIDP,2017-01-07,5,0.00,0.000
2017-01-07T01:30:00Z,APXMIDP,2017-01-07,4,46.13,365.850
